name	number	code	lat	lon	type	favourite
Gleneagles & Duford	2710	EM190	45.468349	-75.507202	0	0
Gleneagles & Duford	2702	EM200	45.468269	-75.50692	0	0
Gleneagles & ST Georges	2712	EM230	45.469494	-75.502998	0	0
Gleneagles & ST Georges	2704	EM240	45.469421	-75.502831	0	0
Goldridge & Afton	3571	WH106	45.31456	-75.923073	0	0
Goldridge & Cambior	3609	WH118	45.31551	-75.927505	0	0
Goldridge & Cheltonia	3573	WH111	45.313129	-75.926834	0	0
Goldridge & Grengold	3611	WH107	45.314014	-75.923164	0	0
Goldridge & Hemlo	3612	WH102	45.315407	-75.921059	0	0
Goldridge & Hemlo	3570	WH104	45.315365	-75.921547	0	0
Goldridge & Insmill	3572	WH108	45.311852	-75.924156	0	0
Goldridge & Insmill	3610	WH109	45.312233	-75.923363	0	0
Goldridge & Insmill	3608	WH112	45.312904	-75.926674	0	0
Goldridge & Norgold	3607	WH113	45.314884	-75.926674	0	0
Goldridge & Stikine	3280	WH098	45.317696	-75.925117	0	0
Goldridge & Stikine	3281	WH099	45.317497	-75.925262	0	0
Golflinks & Pondhollow	451	WA305	45.258114	-75.721832	0	0
Golflinks & Rustwood	453	WA325	45.257141	-75.7174	0	0
Golflinks & Silbrass	456	WA340	45.254913	-75.718346	0	0
Golflinks S & Jockvale	2354	WA345	45.250965	-75.719635	0	0
Goulbourn Forced & Badeley	1111	WH769	45.323521	-75.928055	0	0
Goulbourn Forced & Badeley	1112	WH770	45.324093	-75.928688	0	0
Grandview & Borden	5326	WG480	45.355408	-75.849442	0	0
Granite Ridge & Abbott	2205	WS850	45.268394	-75.905327	0	0
Granite Ridge & Amethyst	2208	WS870	45.272903	-75.908424	0	0
Granite Ridge & Cinnabar	900	WS860	45.269962	-75.906792	0	0
Granite Ridge & Cinnabar	2207	WS865	45.269951	-75.906532	0	0
Granite Ridge & Cinnabar	2209	WS875	45.273594	-75.908882	0	0
Granville & Montréal	1545	AB290	45.43819	-75.656242	0	0
Grassy Plains & Apple Creek	6226	WK525	45.276691	-75.85186	0	0
Grassy Plains & Apple Creek	6227	WK530	45.277447	-75.849022	0	0
Grassy Plains & Birchfield	6224	WK510	45.276802	-75.851265	0	0
Grassy Plains & Deerchase	6225	WK500	45.277443	-75.85318	0	0
Grassy Plains & Emerald Meadws	2955	WK515	45.27784	-75.854385	0	0
Grassy Plains & Farmfield	6739	WK520	45.277889	-75.848228	0	0
Grassy Plains & Farmfield	6222	WK545	45.280468	-75.846603	0	0
Grassy Plains & Meadwbreeze	6228	WK532	45.280113	-75.846443	0	0
Grassy Plainsandstonehaven	3379	WK543	45.281639	-75.845268	0	0
Greely Community Centre	9007	SX329	45.261551	-75.555832	0	0
Greenbank & AD 250	1506	WB200	45.324818	-75.77877	0	0
Greenbank & AD 251	5844	WB210	45.325367	-75.778763	0	0
Greenbank & Ashgrove	4092	WB120	45.336052	-75.785057	0	0
Greenbank & Ashgrove	5236	WB130	45.33543	-75.784958	0	0
Greenbank & Banner	1689	WB140	45.332134	-75.782806	0	0
Greenbank & Banner	1690	WB150	45.331375	-75.782654	0	0
Greenbank & Baseline	8319	WB055	45.342194	-75.788666	0	0
Greenbank & Baseline	1695	WB065	45.34164	-75.788185	0	0
Greenbank & Bellman	1685	WB180	45.326527	-75.779793	0	0
Greenbank & Bellman	1959	WB190	45.327118	-75.779808	0	0
Greenbank & Brambling Pathway	1160	WA398	45.251175	-75.73465	0	0
Greenbank & Brambling Pathway	1153	WA400	45.250866	-75.73468	0	0
Greenbank & Canfield	1684	WB160	45.329704	-75.781616	0	0
Greenbank & Craig Henry	1958	WB170	45.330273	-75.781654	0	0
Greenbank & Dundonald	1628	WA390	45.246799	-75.732048	0	0
Greenbank & Dundonald	1629	WA393	45.246159	-75.731888	0	0
Greenbank & Egret	1812	WA394	45.249241	-75.733505	0	0
Greenbank & Egret	1816	WA396	45.248562	-75.733299	0	0
Greenbank & Fallowfield	1713	WA280	45.287533	-75.756851	0	0
Greenbank & Gibbard	1717	WB220	45.323246	-75.777779	0	0
Greenbank & Iris	4080	WB020	45.346809	-75.788803	0	0
Greenbank & Iris	4086	WB030	45.346962	-75.788429	0	0
Greenbank & Larkin	1851	WA290	45.286362	-75.755737	0	0
Greenbank & Lisa	2426	WB050	45.34396	-75.788719	0	0
Greenbank & Lisa	4062	WB060	45.34412	-75.788422	0	0
Greenbank & Marketplace	1248	WA755	45.269657	-75.745773	0	0
Greenbank & Meadwbank	1957	WB100	45.337624	-75.785942	0	0
Greenbank & Meadwbank	1691	WB110	45.337337	-75.786011	0	0
Greenbank & Monterey	4064	WB080	45.33984	-75.787506	0	0
Greenbank & Monterey	5200	WB090	45.33979	-75.787155	0	0
Greenbank & Morrison	4084	WB040	45.345379	-75.788589	0	0
Greenbank & Strandherd	1249	WA750	45.269714	-75.74604	0	0
Greenboro	3037	RF990	45.359711	-75.659401	0	0
Greenboro 1A	3037	RF900	45.360085	-75.658791	0	0
Greenboro 1B	3037	RF905	45.359802	-75.658775	0	0
Greenboro 2A	3037	RF910	45.35981	-75.658432	0	0
Greenside & Promenad	995	SD430	45.327942	-75.705475	0	0
Grenfell & Beth	2498	SE320	45.315182	-75.725601	0	0
Grenfell & Burnbank	6110	SE330	45.319595	-75.72216	0	0
Grenfell & Capital	1624	SE340	45.321796	-75.721443	0	0
Grenfell & Capital	6109	SE350	45.320869	-75.721649	0	0
Grenfell & Slack	4017	SE360	45.323479	-75.72142	0	0
Grenfell & Slack	1625	SE370	45.323463	-75.721588	0	0
Grey Nuns & Friar	7944	EK670	45.470467	-75.537842	0	0
Grey Nuns & Friar	7948	EK680	45.470165	-75.537453	0	0
Grey Nuns & Harvest	7942	EK630	45.468807	-75.542656	0	0
Grey Nuns & Harvest	7949	EK640	45.469006	-75.542809	0	0
Grey Nuns & Jeanne D'arc	8898	EK610	45.466393	-75.542213	0	0
Grey Nuns & Lumberman	7946	EK710	45.466705	-75.536781	0	0
Grey Nuns & Meadwview	6621	EK650	45.46973	-75.540993	0	0
Grey Nuns & Meadwview	6622	EK660	45.469776	-75.541283	0	0
Grey Nuns & ST Joseph	8121	EK720	45.466354	-75.536522	0	0
Grey Nuns & Sundown	7945	EK690	45.469067	-75.537025	0	0
Grey Nuns & Sundown	7947	EK700	45.468891	-75.536682	0	0
Grove & Bank	6687	CG370	45.392223	-75.682159	0	0
Grove & Grosvenor	6686	CG360	45.391216	-75.684578	0	0
Grove & Leonard	6685	CG350	45.390297	-75.686836	0	0
Grove & Seneca	6738	CG340	45.389774	-75.688148	0	0
Haanel & AD 2	955	WF001	45.321201	-75.866913	0	0
Halifax & AD 2215	5803	AK500	45.388813	-75.623787	0	0
Halifax & Dakota	5804	AK510	45.388195	-75.621666	0	0
Halton & AD 1159	465	WM286	45.35516	-75.940514	0	0
Halton & Brad	1252	WM210	45.34816	-75.935501	0	0
Halton & Brad	1253	WM240	45.348034	-75.93557	0	0
Halton & Flamborough	4874	WM225	45.348625	-75.932831	0	0
Halton & Klondike	463	WM276	45.350239	-75.940941	0	0
Halton & Peikoff	1255	WM250	45.348736	-75.939034	0	0
Halton & Whernside	464	WM281	45.351852	-75.943329	0	0
Halton & Wimbledon	1254	WM245	45.348763	-75.938789	0	0
Harness & Equestrian	1776	WK045	45.288071	-75.864235	0	0
Harvest Valley & Glastonbury	1852	EQ425	45.447239	-75.471214	0	0
Harvest Valley & Glastonbury	1853	EQ427	45.447353	-75.470314	0	0
Harvest Valley & Lakeridge	1774	EQ419	45.44611	-75.474861	0	0
Harvest Valley & Lakeridge	1786	EQ420	45.445976	-75.474777	0	0
Harvest Valley & Sparkman	5919	EQ418	45.44548	-75.476982	0	0
Harvest Valley & Sparkman	5918	EQ421	45.445389	-75.476715	0	0
Hawthorne & Ages	4336	RI480	45.386089	-75.60424	0	0
Hawthorne & Colonel BY	2447	CF140	45.411789	-75.682304	0	0
Hawthorne & Colonel BY	7633	CF150	45.411926	-75.682594	0	0
Hawthorne & Hunt Club	5902	RI500	45.374477	-75.596062	0	0
Hawthorne & Hunt Club	1584	RI600	45.37413	-75.59668	0	0
Hawthorne & Main	7634	CF160	45.41264	-75.680656	0	0
Hawthorne & Russell	5713	RI477	45.388367	-75.605453	0	0
Hawthorne & Russell	8996	RI486	45.389671	-75.605598	0	0
Hawthorneand AD 3101	3638	RI479	45.386391	-75.604019	0	0
Hazeldean & Bradey Green	5477	WS030	45.27895	-75.918716	0	0
Hazeldean & Bradey Green	5478	WS040	45.278786	-75.91851	0	0
Hazeldean & Carbrook	6298	WI482	45.302956	-75.879166	0	0
Hazeldean & Carbrooke	6166	WI490	45.302242	-75.880844	0	0
Hazeldean & Carp	1881	WS114	45.268055	-75.93882	0	0
Hazeldean & Carp	1594	WS115	45.268223	-75.938881	0	0
Hazeldean & Castlefrank	5644	WI505	45.299091	-75.887001	0	0
Hazeldean & Castlefrank	6384	WI507	45.297592	-75.889397	0	0
Hazeldean & Castlefrank	827	WI510	45.29908	-75.886757	0	0
Hazeldean & Castlefrank	5409	WJ120	45.297245	-75.889595	0	0
Hazeldean & Eagleson	5603	WI475	45.303596	-75.878036	0	0
Hazeldean & Edgewater	3504	WI285	45.294704	-75.893898	0	0
Hazeldean & Fringewood	5711	WS010	45.281403	-75.914825	0	0
Hazeldean & Fringewood	8612	WS020	45.281834	-75.913773	0	0
Hazeldean & Grant Crossing Centre	774	WS007	45.286732	-75.906029	0	0
Hazeldean & Grant Crossing Centre	775	WS008	45.286686	-75.90641	0	0
Hazeldean & Iber	1216	WS003	45.283222	-75.911484	0	0
Hazeldean & Iber	1202	WS005	45.283081	-75.912155	0	0
Hazeldean & Irwin Gate	828	WI485	45.302441	-75.880676	0	0
Hazeldean & Johnwoods	5481	WS070	45.27676	-75.922112	0	0
Hazeldean & Kincardine	1201	WS002	45.292622	-75.896736	0	0
Hazeldean & Lowe's	1043	WS009	45.290283	-75.900482	0	0
Hazeldean & Lowe's	1042	WS011	45.29039	-75.900612	0	0
Hazeldean & Savage	5479	WS050	45.277779	-75.920471	0	0
Hazeldean & Savage	5480	WS060	45.277561	-75.920464	0	0
Hazeldean & Springbrook	5714	WS075	45.274734	-75.925385	0	0
Hazeldean & Springbrook	8535	WS085	45.274162	-75.92585	0	0
Hazeldean & Stittsville Main	1589	WS100	45.272743	-75.928658	0	0
Hazeldean & Stittsville Main	4676	WS105	45.272686	-75.929192	0	0
Hazeldean & Terry Fox	2308	WJ100	45.293873	-75.894913	0	0
Hazeldean & Terry Fox	1217	WS004	45.292839	-75.89682	0	0
Hazeldean & Victor	5482	WS080	45.276634	-75.921967	0	0
Hazeldean & Young	5410	WJ110	45.295238	-75.892784	0	0
Hazeldean Mall & East Stop	6242	WJ830	45.300709	-75.876778	0	0
Hazeldean Mall & West Stop	2460	WJ820	45.301582	-75.877151	0	0
Heatherington & AD 1455	7207	AH320	45.372826	-75.651733	0	0
Heatherington & AD 1455	7209	AH330	45.372734	-75.651497	0	0
Heatherington & AD 1476	7206	AH300	45.373363	-75.650208	0	0
Heatherington & AD 1485	7208	AH310	45.373219	-75.650185	0	0
Heatherington & AD 1535	8385	AH290	45.37302	-75.648628	0	0
Heatherington & AD 1560	8401	AH280	45.373077	-75.648109	0	0
Heatherington & Albion	8402	AH340	45.37228	-75.653122	0	0
Heatherington & Albion	7210	AH350	45.372231	-75.652733	0	0
Heatherington & Angela	7203	AH240	45.375053	-75.643661	0	0
Heatherington & Bannerhill	7204	AH260	45.373959	-75.644279	0	0
Heatherington & Bannerhill	7205	AH270	45.373718	-75.644409	0	0
Heatherington & Fairlea	5806	AH220	45.377514	-75.644608	0	0
Heatherington & Fairlea	8400	AH230	45.376423	-75.644226	0	0
Heatherington & Fairlea	8386	AH250	45.375149	-75.643478	0	0
Hedgerow & Trailway	6542	WS560	45.266327	-75.917458	0	0
Helmsdale & Kimbolton	1502	WM311	45.352875	-75.918861	0	0
Helmsdale & Shirley's Brook	4837	WM320	45.353008	-75.918915	0	0
Helmsdale & Tobermory	4867	WM310	45.35339	-75.921143	0	0
Helmsdale & Tobermory	6202	WM315	45.35331	-75.921387	0	0
Hemlock & Lansdowne	7017	AA320	45.447628	-75.668449	0	0
Hemlock & Lansdowne	7019	AA330	45.44759	-75.668083	0	0
Hemlock & Whitemarl	7018	AA325	45.448833	-75.665802	0	0
Hemlock & Whitemarl	7020	AA335	45.448765	-75.665031	0	0
Hemmingwood & Centrepointe	4526	SH552	45.346344	-75.766266	0	0
Hemmingwood & Covington	4529	SH560	45.344849	-75.772964	0	0
Hemmingwood & Draffin	4528	SH558	45.345345	-75.770554	0	0
Hemmingwood & Thornbury	4527	SH555	45.345585	-75.768257	0	0
Henley & Tavistock	5217	WC060	45.359089	-75.783791	0	0
Henn & August	935	ER740	45.42524	-75.425751	0	0
Henn & Colonial	2292	ER800	45.421844	-75.422607	0	0
Henn & Loeper	2290	ER760	45.424717	-75.424835	0	0
Henn & Loeper	2291	ER780	45.422928	-75.422882	0	0
Henn & Trim	2289	ER720	45.424896	-75.428276	0	0
Heron 1A	3035	RA955	45.378933	-75.679749	0	0
Heron 2A	3035	RA960	45.378853	-75.679497	0	0
Heron 3A	3035	RA965	45.379066	-75.680626	0	0
Heron 4A	3035	RA970	45.37904	-75.680473	0	0
Heron & Alta Vista	8231	AG480	45.379028	-75.661911	0	0
Heron & Alta Vista	9005	AI521	45.379093	-75.660759	0	0
Heron & Alta Vista	7226	AI530	45.378971	-75.660316	0	0
Heron & Bank	8286	AG520	45.378761	-75.66684	0	0
Heron & Bank	1166	AG525	45.378517	-75.666962	0	0
Heron & Baycrest	8397	AI480	45.37965	-75.653343	0	0
Heron & Baycrest	4083	AI490	45.379536	-75.652328	0	0
Heron & Briarhill	8818	AI470	45.379929	-75.649559	0	0
Heron & Bronson	5602	RA415	45.377464	-75.684555	0	0
Heron & Clover	8233	RA380	45.377747	-75.676064	0	0
Heron & Evans	7187	AG500	45.378891	-75.664551	0	0
Heron & Finn	7225	AI500	45.37944	-75.65654	0	0
Heron & Finn	8392	AI510	45.379322	-75.656464	0	0
Heron & Gilles	1265	RA328	45.378414	-75.670151	0	0
Heron & Heron Bridge	2342	SA030	45.375664	-75.703339	0	0
